Date;CLOSE
1984M01;29,34
1984M02;29,34
1984M03;29,34
1984M04;29,34
1984M05;29,34
1984M06;34,31
1984M07;35,80
1984M08;35,80
1984M09;35,80
1984M10;35,80
1984M11;35,31
1984M12;34,94
1985M01;35,06
1985M02;35,06
1985M03;35,06
1985M04;35,06
1985M05;35,06
1985M06;35,06
1985M07;35,06
1985M08;35,06
1985M09;35,06
1985M10;34,49
1985M11;34,49
1985M12;34,49
1986M01;33,83
1986M02;33,83
1986M03;31,64
1986M04;31,64
1986M05;29,46
1986M06;29,46
1986M07;29,46
1986M08;29,46
1986M09;29,46
1986M10;29,46
1986M11;29,46
1986M12;27,28
1987M01;27,28
1987M02;27,28
1987M03;27,28
1987M04;26,18
1987M05;26,18
1987M06;26,18
1987M07;26,18
1987M08;26,18
1987M09;26,18
1987M10;26,18
1987M11;26,34
1987M12;26,50
1988M01;26,50
1988M02;26,00
1988M03;26,50
1988M04;27,00
1988M05;27,50
1988M06;27,50
1988M07;27,50
1988M08;28,50
1988M09;29,25
1988M10;30,00
1988M11;30,00
1988M12;31,00
1989M01;31,00
1989M02;31,00
1989M03;31,00
1989M04;31,00
1989M05;31,00
1989M06;31,00
1989M07;31,00
1989M08;31,00
1989M09;31,00
1989M10;31,00
1989M11;31,00
1989M12;31,00
1990M01;31,00
1990M02;31,00
1990M03;31,00
1990M04;31,00
1990M05;32,50
1990M06;34,00
1990M07;34,00
1990M08;34,00
1990M09;34,00
1990M10;34,00
1990M11;34,00
1990M12;34,00
1991M01;34,00
1991M02;34,00
1991M03;31,00
1991M04;31,00
1991M05;31,00
1991M06;31,00
1991M07;31,00
1991M08;31,00
1991M09;31,00
1991M10;31,00
1991M11;31,00
1991M12;31,00
1992M01;31,00
1992M02;31,00
1992M03;31,00
1992M04;31,00
1992M05;31,00
1992M06;29,00
1992M07;27,00
1992M08;27,00
1992M09;27,00
1992M10;27,00
1992M11;27,00
1992M12;27,00
1993M01;27,00
1993M02;27,00
1993M03;27,00
1993M04;27,00
1993M05;27,00
1993M06;27,00
1993M07;27,00
1993M08;27,00
1993M09;27,00
1993M10;27,00
1993M11;27,00
1993M12;26,50
1994M01;27,00
1994M02;27,00
1994M03;27,00
1994M04;27,00
1994M05;27,00
1994M06;28,50
1994M07;28,50
1994M08;28,50
1994M09;29,00
1994M10;30,75
1994M11;30,50
1994M12;32,00
1995M01;34,00
1995M02;34,50
1995M03;34,75
1995M04;35,00
1995M05;35,00
1995M06;34,89
1995M07;36,15
1995M08;35,70
1995M09;35,93
1995M10;35,75
1995M11;36,07
1995M12;35,01
1996M01;34,75
1996M02;34,25
